Role,Experience,CRM_Training,CRM_Effectiveness,CRM_Frequency,CRM_Training_Addresses,CRM_Contribution,CRM_Helped,CRM_Improvement,CRM_Application,CRM_Aspect,CRM_Challenges,CRM_Preparation,General_Comments,Additional_Comments
Co-pilot,More than 10 years,Yes,Effective,Bi-annually,2,Moderately,Yes,Not at all,Sometimes,Fatigue management,Poor communication,No,N/A,N/A
Air Traffic Controller,Less than 1 year,No,Very Effective,Bi-annually,3,Moderately,No,Somewhat,Sometimes,Other,Poor communication,No,N/A,N/A
Flight Attendant,More than 10 years,No,Very Ineffective,Annually,4,I’m not sure,Yes,Not at all,Always,Fatigue management,Lack of team cooperation,No,N/A,N/A
Co-pilot,More than 10 years,Yes,Very Ineffective,Bi-annually,3,Not at all,No,Somewhat,Always,Communication,Pressure from management,No,N/A,N/A
Pilot,More than 10 years,Yes,Neutral,Annually,3,Not at all,Yes,Very little,Always,Fatigue management,Pressure from management,Yes,N/A,N/A
Other,1-5 years,Yes,Very Ineffective,Every 2-3 years,4,Slightly,No,Very little,Rarely,Fatigue management,Poor communication,Yes,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Very Ineffective,Annually,5,Slightly,Yes,Not at all,Always,Other,Poor communication,Yes,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Ineffective,Annually,2,Moderately,No,Somewhat,Frequently,Other,Lack of team cooperation,Yes,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Very Effective,Annually,2,Significantly,Yes,To a great extent,Sometimes,Teamwork,Time constraints,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Neutral,Bi-annually,2,Significantly,No,To a great extent,Frequently,Other,Other,No,N/A,N/A
Pilot,6-10 years,No,Neutral,Every 2-3 years,5,I’m not sure,No,To a great extent,Frequently,Teamwork,Other,Yes,N/A,N/A
Pilot,6-10 years,No,Very Ineffective,Bi-annually,4,Slightly,No,Very little,Frequently,Fatigue management,Pressure from management,No,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Effective,Never,1,Not at all,No,Not at all,Always,Communication,Other,Yes,N/A,N/A
Pilot,More than 10 years,No,Very Effective,Rarely,1,Slightly,Yes,Not at all,Always,Teamwork,Pressure from management,No,N/A,N/A
Pilot,1-5 years,No,Effective,Bi-annually,1,Moderately,Yes,To a great extent,Rarely,Fatigue management,Pressure from management,Yes,N/A,N/A
Co-pilot,More than 10 years,Yes,Effective,Rarely,5,Slightly,No,Very little,Frequently,Decision-making,Poor communication,Yes,N/A,N/A
Pilot,6-10 years,No,Very Ineffective,Annually,4,Not at all,No,Very little,Always,Decision-making,Time constraints,No,N/A,N/A
Pilot,1-5 years,Yes,Ineffective,Annually,3,I’m not sure,Yes,To a great extent,Frequently,Other,Lack of team cooperation,No,N/A,N/A
Co-pilot,6-10 years,Yes,Neutral,Rarely,2,Moderately,No,Very little,Frequently,Teamwork,Other,Yes,N/A,N/A
Other,Less than 1 year,No,Very Ineffective,Every 2-3 years,4,I’m not sure,No,Very little,Always,Communication,Pressure from management,Yes,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Effective,Every 2-3 years,2,Moderately,No,Somewhat,Always,Decision-making,Other,No,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Ineffective,Bi-annually,2,Slightly,Yes,Somewhat,Sometimes,Teamwork,Time constraints,Yes,N/A,N/A
Co-pilot,Less than 1 year,No,Effective,Bi-annually,1,I’m not sure,Yes,To a great extent,Always,Other,Other,Yes,N/A,N/A
Co-pilot,More than 10 years,Yes,Effective,Bi-annually,1,I’m not sure,No,Not at all,Frequently,Communication,Other,Yes,N/A,N/A
Co-pilot,Less than 1 year,Yes,Very Effective,Rarely,4,Significantly,Yes,Somewhat,Always,Communication,Lack of team cooperation,Yes,N/A,N/A
Pilot,Less than 1 year,No,Very Effective,Annually,1,I’m not sure,No,Somewhat,Frequently,Fatigue management,Pressure from management,Yes,N/A,N/A
Air Traffic Controller,1-5 years,No,Effective,Rarely,1,Significantly,No,To a great extent,Frequently,Fatigue management,Time constraints,No,N/A,N/A
Co-pilot,6-10 years,No,Ineffective,Every 2-3 years,2,Not at all,Yes,Very little,Always,Other,Time constraints,No,N/A,N/A
Other,1-5 years,No,Very Ineffective,Every 2-3 years,5,Moderately,No,Not at all,Sometimes,Teamwork,Other,Yes,N/A,N/A
Flight Attendant,More than 10 years,No,Effective,Rarely,1,Significantly,Yes,To a great extent,Rarely,Teamwork,Time constraints,Yes,N/A,N/A
Other,6-10 years,Yes,Very Ineffective,Never,4,Not at all,Yes,Very little,Sometimes,Teamwork,Poor communication,No,N/A,N/A
Pilot,6-10 years,No,Ineffective,Rarely,4,Moderately,Yes,To a great extent,Rarely,Decision-making,Pressure from management,Yes,N/A,N/A
Co-pilot,Less than 1 year,Yes,Very Effective,Never,1,Moderately,Yes,Somewhat,Rarely,Communication,Time constraints,No,N/A,N/A
Flight Attendant,6-10 years,Yes,Effective,Rarely,5,Significantly,No,To a great extent,Rarely,Fatigue management,Time constraints,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Effective,Annually,1,I’m not sure,Yes,Somewhat,Rarely,Communication,Poor communication,No,N/A,N/A
Pilot,1-5 years,No,Ineffective,Rarely,5,Not at all,Yes,To a great extent,Frequently,Fatigue management,Lack of team cooperation,No,N/A,N/A
Pilot,6-10 years,Yes,Very Effective,Bi-annually,4,Significantly,No,Somewhat,Frequently,Communication,Pressure from management,No,N/A,N/A
Co-pilot,More than 10 years,Yes,Ineffective,Every 2-3 years,2,Moderately,No,Somewhat,Rarely,Communication,Lack of team cooperation,No,N/A,N/A
Pilot,1-5 years,Yes,Effective,Every 2-3 years,1,I’m not sure,No,Not at all,Sometimes,Teamwork,Time constraints,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Ineffective,Bi-annually,4,Significantly,Yes,Not at all,Frequently,Other,Time constraints,No,N/A,N/A
Other,6-10 years,No,Neutral,Bi-annually,3,Significantly,Yes,Very little,Frequently,Communication,Time constraints,Yes,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Neutral,Rarely,5,Significantly,Yes,Somewhat,Sometimes,Decision-making,Time constraints,Yes,N/A,N/A
Co-pilot,Less than 1 year,No,Effective,Every 2-3 years,2,Slightly,No,To a great extent,Always,Communication,Other,Yes,N/A,N/A
Other,More than 10 years,No,Neutral,Rarely,5,Significantly,No,Very little,Frequently,Other,Other,No,N/A,N/A
Other,Less than 1 year,No,Neutral,Every 2-3 years,2,Significantly,Yes,Somewhat,Always,Other,Lack of team cooperation,No,N/A,N/A
Air Traffic Controller,More than 10 years,Yes,Very Ineffective,Bi-annually,2,Slightly,Yes,Somewhat,Frequently,Decision-making,Lack of team cooperation,Yes,N/A,N/A
Other,1-5 years,No,Effective,Annually,5,Not at all,Yes,Somewhat,Rarely,Fatigue management,Poor communication,Yes,N/A,N/A
Other,1-5 years,Yes,Ineffective,Every 2-3 years,4,Slightly,Yes,To a great extent,Sometimes,Teamwork,Poor communication,No,N/A,N/A
Air Traffic Controller,6-10 years,No,Effective,Every 2-3 years,5,I’m not sure,No,To a great extent,Sometimes,Decision-making,Time constraints,No,N/A,N/A
Co-pilot,1-5 years,Yes,Very Ineffective,Never,3,I’m not sure,Yes,Not at all,Always,Fatigue management,Pressure from management,No,N/A,N/A
Pilot,6-10 years,No,Very Ineffective,Bi-annually,3,Not at all,Yes,Somewhat,Sometimes,Communication,Poor communication,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Neutral,Bi-annually,3,Significantly,Yes,To a great extent,Always,Other,Lack of team cooperation,No,N/A,N/A
Co-pilot,6-10 years,Yes,Neutral,Every 2-3 years,1,I’m not sure,No,To a great extent,Always,Teamwork,Other,No,N/A,N/A
Flight Attendant,6-10 years,Yes,Neutral,Every 2-3 years,1,Significantly,No,To a great extent,Frequently,Other,Lack of team cooperation,Yes,N/A,N/A
Other,Less than 1 year,No,Very Ineffective,Annually,4,Significantly,Yes,Very little,Rarely,Other,Poor communication,Yes,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Very Ineffective,Never,3,Significantly,No,To a great extent,Sometimes,Communication,Poor communication,No,N/A,N/A
Co-pilot,Less than 1 year,No,Very Ineffective,Bi-annually,5,Moderately,No,Very little,Always,Other,Time constraints,No,N/A,N/A
Other,Less than 1 year,Yes,Very Ineffective,Bi-annually,4,Significantly,No,Very little,Rarely,Fatigue management,Lack of team cooperation,No,N/A,N/A
Pilot,1-5 years,Yes,Very Ineffective,Every 2-3 years,5,Slightly,Yes,Very little,Sometimes,Teamwork,Poor communication,No,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Effective,Rarely,2,Moderately,Yes,Somewhat,Always,Decision-making,Poor communication,Yes,N/A,N/A
Co-pilot,6-10 years,No,Neutral,Annually,2,I’m not sure,No,Somewhat,Always,Communication,Lack of team cooperation,No,N/A,N/A
Flight Attendant,Less than 1 year,No,Effective,Annually,4,Moderately,Yes,Somewhat,Sometimes,Other,Other,Yes,N/A,N/A
Flight Attendant,6-10 years,Yes,Neutral,Never,4,I’m not sure,Yes,To a great extent,Frequently,Teamwork,Other,No,N/A,N/A
Co-pilot,Less than 1 year,No,Neutral,Never,4,Not at all,Yes,Not at all,Rarely,Communication,Poor communication,No,N/A,N/A
Air Traffic Controller,Less than 1 year,Yes,Neutral,Annually,4,Significantly,No,Somewhat,Sometimes,Teamwork,Poor communication,No,N/A,N/A
Co-pilot,Less than 1 year,Yes,Ineffective,Every 2-3 years,3,Not at all,Yes,Not at all,Sometimes,Other,Time constraints,Yes,N/A,N/A
Pilot,More than 10 years,Yes,Very Ineffective,Never,5,Moderately,Yes,To a great extent,Rarely,Fatigue management,Time constraints,No,N/A,N/A
Flight Attendant,Less than 1 year,No,Very Effective,Bi-annually,1,Slightly,Yes,Very little,Sometimes,Teamwork,Pressure from management,Yes,N/A,N/A
Co-pilot,More than 10 years,No,Very Ineffective,Never,2,I’m not sure,Yes,Somewhat,Frequently,Fatigue management,Other,No,N/A,N/A
Other,Less than 1 year,Yes,Very Effective,Never,3,Significantly,Yes,Somewhat,Always,Communication,Poor communication,Yes,N/A,N/A
Other,Less than 1 year,Yes,Ineffective,Never,4,Significantly,No,To a great extent,Sometimes,Other,Other,Yes,N/A,N/A
Air Traffic Controller,1-5 years,No,Neutral,Never,2,Moderately,No,Very little,Frequently,Other,Time constraints,Yes,N/A,N/A
Other,Less than 1 year,Yes,Ineffective,Annually,2,Significantly,Yes,Very little,Always,Other,Lack of team cooperation,Yes,N/A,N/A
Pilot,6-10 years,Yes,Neutral,Annually,4,Significantly,No,To a great extent,Rarely,Fatigue management,Pressure from management,Yes,N/A,N/A
Other,6-10 years,No,Very Ineffective,Annually,5,Significantly,No,Very little,Sometimes,Communication,Lack of team cooperation,No,N/A,N/A
Air Traffic Controller,6-10 years,No,Ineffective,Annually,5,Not at all,No,To a great extent,Frequently,Communication,Poor communication,No,N/A,N/A
Flight Attendant,1-5 years,Yes,Effective,Rarely,2,Significantly,Yes,Not at all,Frequently,Decision-making,Pressure from management,No,N/A,N/A
Other,1-5 years,Yes,Very Ineffective,Never,3,Slightly,Yes,Very little,Frequently,Teamwork,Pressure from management,Yes,N/A,N/A
Air Traffic Controller,1-5 years,No,Ineffective,Every 2-3 years,1,Not at all,No,Very little,Sometimes,Communication,Lack of team cooperation,Yes,N/A,N/A
Other,More than 10 years,No,Very Effective,Every 2-3 years,5,Slightly,No,Very little,Frequently,Other,Lack of team cooperation,Yes,N/A,N/A
Pilot,Less than 1 year,Yes,Very Effective,Never,2,Significantly,No,Somewhat,Rarely,Teamwork,Lack of team cooperation,Yes,N/A,N/A
Pilot,6-10 years,No,Effective,Annually,4,I’m not sure,Yes,To a great extent,Always,Teamwork,Other,No,N/A,N/A
Flight Attendant,1-5 years,No,Very Effective,Every 2-3 years,3,Slightly,No,Very little,Frequently,Fatigue management,Pressure from management,No,N/A,N/A
Co-pilot,Less than 1 year,No,Very Ineffective,Annually,5,Moderately,Yes,Not at all,Sometimes,Communication,Other,Yes,N/A,N/A
Air Traffic Controller,6-10 years,No,Ineffective,Every 2-3 years,1,Significantly,Yes,To a great extent,Rarely,Decision-making,Pressure from management,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Neutral,Every 2-3 years,5,Not at all,No,Somewhat,Rarely,Decision-making,Other,No,N/A,N/A
Other,1-5 years,Yes,Neutral,Never,2,Moderately,Yes,Not at all,Rarely,Teamwork,Lack of team cooperation,No,N/A,N/A
Pilot,More than 10 years,No,Very Ineffective,Rarely,2,Moderately,No,Very little,Rarely,Fatigue management,Poor communication,Yes,N/A,N/A
Pilot,1-5 years,Yes,Very Ineffective,Annually,4,Moderately,No,Very little,Frequently,Other,Pressure from management,Yes,N/A,N/A
Co-pilot,1-5 years,Yes,Very Ineffective,Never,3,Not at all,No,Somewhat,Sometimes,Fatigue management,Pressure from management,No,N/A,N/A
Other,Less than 1 year,No,Very Ineffective,Never,1,Not at all,Yes,Very little,Sometimes,Fatigue management,Pressure from management,No,N/A,N/A
Flight Attendant,More than 10 years,No,Very Ineffective,Every 2-3 years,2,Not at all,No,Very little,Rarely,Communication,Other,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Neutral,Every 2-3 years,2,Significantly,Yes,Very little,Sometimes,Other,Pressure from management,No,N/A,N/A
Flight Attendant,Less than 1 year,No,Ineffective,Annually,3,Significantly,Yes,Somewhat,Rarely,Decision-making,Pressure from management,No,N/A,N/A
Flight Attendant,6-10 years,No,Effective,Annually,5,Moderately,Yes,Very little,Always,Other,Lack of team cooperation,Yes,N/A,N/A
Flight Attendant,Less than 1 year,No,Neutral,Annually,3,Moderately,No,To a great extent,Frequently,Communication,Pressure from management,No,N/A,N/A
Flight Attendant,1-5 years,No,Neutral,Bi-annually,1,Moderately,Yes,Not at all,Sometimes,Communication,Other,Yes,N/A,N/A
Pilot,1-5 years,No,Ineffective,Annually,2,Not at all,Yes,Not at all,Rarely,Decision-making,Other,No,N/A,N/A
Other,1-5 years,No,Neutral,Bi-annually,4,Moderately,No,Somewhat,Frequently,Communication,Pressure from management,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Neutral,Every 2-3 years,4,Significantly,Yes,Not at all,Frequently,Other,Time constraints,No,N/A,N/A
Other,Less than 1 year,No,Very Ineffective,Annually,2,Not at all,Yes,To a great extent,Frequently,Teamwork,Lack of team cooperation,No,N/A,N/A
Air Traffic Controller,6-10 years,Yes,Very Ineffective,Rarely,3,Moderately,No,Somewhat,Always,Fatigue management,Pressure from management,Yes,N/A,N/A
Pilot,More than 10 years,Yes,Effective,Never,2,Slightly,Yes,Very little,Frequently,Communication,Other,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Very Effective,Rarely,2,Slightly,No,Very little,Frequently,Communication,Pressure from management,No,N/A,N/A
Other,1-5 years,No,Very Ineffective,Rarely,5,Slightly,No,Not at all,Rarely,Other,Time constraints,Yes,N/A,N/A
Pilot,More than 10 years,Yes,Neutral,Annually,1,Significantly,Yes,Not at all,Rarely,Other,Poor communication,Yes,N/A,N/A
Flight Attendant,More than 10 years,Yes,Neutral,Every 2-3 years,1,Moderately,No,Very little,Rarely,Fatigue management,Time constraints,No,N/A,N/A
Co-pilot,Less than 1 year,No,Effective,Rarely,3,Not at all,Yes,Very little,Always,Teamwork,Poor communication,No,N/A,N/A
Air Traffic Controller,1-5 years,No,Neutral,Never,3,Significantly,No,Very little,Rarely,Decision-making,Time constraints,Yes,N/A,N/A
Co-pilot,6-10 years,No,Ineffective,Every 2-3 years,5,Not at all,No,Very little,Sometimes,Other,Poor communication,No,N/A,N/A
Pilot,1-5 years,Yes,Ineffective,Annually,3,Significantly,No,Very little,Always,Decision-making,Other,No,N/A,N/A
Other,More than 10 years,Yes,Effective,Annually,1,Not at all,Yes,Not at all,Sometimes,Communication,Time constraints,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Very Effective,Never,2,Slightly,Yes,Very little,Always,Communication,Lack of team cooperation,Yes,N/A,N/A
Co-pilot,6-10 years,No,Very Ineffective,Every 2-3 years,2,Not at all,Yes,To a great extent,Rarely,Decision-making,Time constraints,Yes,N/A,N/A
Flight Attendant,Less than 1 year,No,Neutral,Rarely,1,Not at all,No,To a great extent,Always,Other,Other,No,N/A,N/A
Co-pilot,1-5 years,No,Very Ineffective,Never,3,I’m not sure,No,Very little,Always,Communication,Lack of team cooperation,No,N/A,N/A
Other,6-10 years,Yes,Ineffective,Annually,2,Slightly,Yes,Very little,Rarely,Decision-making,Pressure from management,Yes,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Ineffective,Bi-annually,4,I’m not sure,No,To a great extent,Always,Other,Pressure from management,Yes,N/A,N/A
Air Traffic Controller,More than 10 years,Yes,Neutral,Annually,5,Moderately,Yes,Not at all,Frequently,Other,Lack of team cooperation,Yes,N/A,N/A
Other,More than 10 years,No,Neutral,Annually,2,Significantly,Yes,Very little,Frequently,Decision-making,Time constraints,No,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Very Ineffective,Never,4,I’m not sure,No,To a great extent,Rarely,Other,Other,Yes,N/A,N/A
Flight Attendant,More than 10 years,Yes,Very Effective,Bi-annually,4,Moderately,Yes,To a great extent,Rarely,Other,Poor communication,No,N/A,N/A
Other,More than 10 years,No,Effective,Annually,1,Slightly,No,Very little,Frequently,Other,Time constraints,No,N/A,N/A
Co-pilot,6-10 years,No,Ineffective,Annually,4,Moderately,Yes,Very little,Always,Decision-making,Lack of team cooperation,No,N/A,N/A
Air Traffic Controller,1-5 years,No,Very Ineffective,Every 2-3 years,3,Slightly,Yes,To a great extent,Always,Other,Time constraints,Yes,N/A,N/A
Flight Attendant,More than 10 years,Yes,Very Ineffective,Every 2-3 years,5,Slightly,No,To a great extent,Rarely,Other,Other,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Effective,Every 2-3 years,5,Significantly,Yes,Somewhat,Frequently,Fatigue management,Time constraints,No,N/A,N/A
Pilot,1-5 years,Yes,Neutral,Rarely,2,Significantly,No,To a great extent,Rarely,Decision-making,Other,Yes,N/A,N/A
Air Traffic Controller,Less than 1 year,Yes,Neutral,Bi-annually,3,Not at all,No,Very little,Rarely,Communication,Other,Yes,N/A,N/A
Air Traffic Controller,More than 10 years,No,Very Ineffective,Annually,1,Slightly,No,Somewhat,Rarely,Communication,Lack of team cooperation,Yes,N/A,N/A
Other,Less than 1 year,No,Neutral,Bi-annually,3,Moderately,No,Very little,Rarely,Communication,Other,Yes,N/A,N/A
Flight Attendant,More than 10 years,Yes,Effective,Every 2-3 years,3,I’m not sure,No,To a great extent,Frequently,Decision-making,Poor communication,No,N/A,N/A
