Role,Experience,CRM_Training,CRM_Effectiveness,CRM_Frequency,CRM_Training_Addresses,CRM_Contribution,CRM_Helped,CRM_Improvement,CRM_Application,CRM_Aspect,CRM_Challenges,CRM_Preparation,General_Comments,Additional_Comments
Other,6-10 years,Yes,Very Ineffective,Annually,4,Slightly,No,Very little,Frequently,Fatigue management,Time constraints,Yes,N/A,N/A
Flight Attendant,1-5 years,Yes,Very Ineffective,Never,5,I’m not sure,No,Somewhat,Rarely,Teamwork,Poor communication,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Very Effective,Annually,4,Not at all,No,Somewhat,Sometimes,Fatigue management,Poor communication,No,N/A,N/A
Co-pilot,More than 10 years,Yes,Neutral,Annually,1,I’m not sure,No,To a great extent,Rarely,Decision-making,Pressure from management,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Neutral,Annually,1,Not at all,Yes,Not at all,Frequently,Fatigue management,Lack of team cooperation,No,N/A,N/A
Co-pilot,6-10 years,No,Ineffective,Bi-annually,3,Slightly,Yes,Somewhat,Always,Communication,Time constraints,Yes,N/A,N/A
Other,Less than 1 year,Yes,Very Effective,Annually,5,Significantly,No,To a great extent,Rarely,Decision-making,Pressure from management,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Neutral,Rarely,4,Not at all,Yes,Very little,Rarely,Fatigue management,Lack of team cooperation,No,N/A,N/A
Co-pilot,More than 10 years,No,Effective,Bi-annually,5,Slightly,Yes,Very little,Sometimes,Decision-making,Lack of team cooperation,Yes,N/A,N/A
Air Traffic Controller,1-5 years,No,Ineffective,Rarely,4,Slightly,Yes,Very little,Frequently,Communication,Other,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Very Effective,Annually,5,Slightly,No,Very little,Rarely,Decision-making,Other,No,N/A,N/A
Flight Attendant,1-5 years,Yes,Effective,Annually,5,Significantly,No,To a great extent,Frequently,Other,Lack of team cooperation,Yes,N/A,N/A
Pilot,6-10 years,Yes,Very Ineffective,Bi-annually,3,I’m not sure,Yes,Very little,Always,Fatigue management,Lack of team cooperation,Yes,N/A,N/A
Co-pilot,More than 10 years,Yes,Ineffective,Bi-annually,2,Significantly,No,Not at all,Sometimes,Decision-making,Poor communication,No,N/A,N/A
Co-pilot,1-5 years,Yes,Ineffective,Annually,3,Moderately,No,Not at all,Sometimes,Other,Other,No,N/A,N/A
Co-pilot,1-5 years,No,Very Ineffective,Never,4,Not at all,Yes,Very little,Sometimes,Decision-making,Other,No,N/A,N/A
Co-pilot,More than 10 years,No,Effective,Rarely,3,I’m not sure,Yes,To a great extent,Sometimes,Fatigue management,Lack of team cooperation,No,N/A,N/A
Pilot,1-5 years,Yes,Very Ineffective,Bi-annually,5,Significantly,No,To a great extent,Rarely,Other,Poor communication,Yes,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Effective,Every 2-3 years,5,Not at all,Yes,Somewhat,Frequently,Teamwork,Pressure from management,Yes,N/A,N/A
Co-pilot,6-10 years,Yes,Neutral,Every 2-3 years,4,I’m not sure,No,Somewhat,Sometimes,Communication,Poor communication,No,N/A,N/A
Pilot,6-10 years,Yes,Very Effective,Rarely,3,I’m not sure,Yes,Very little,Rarely,Teamwork,Time constraints,No,N/A,N/A
Co-pilot,1-5 years,Yes,Neutral,Every 2-3 years,3,I’m not sure,No,To a great extent,Rarely,Communication,Time constraints,Yes,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Effective,Bi-annually,5,Significantly,Yes,Somewhat,Always,Teamwork,Time constraints,Yes,N/A,N/A
Air Traffic Controller,Less than 1 year,No,Effective,Annually,4,Moderately,Yes,Not at all,Frequently,Communication,Lack of team cooperation,Yes,N/A,N/A
Air Traffic Controller,Less than 1 year,Yes,Effective,Rarely,1,Moderately,No,Somewhat,Sometimes,Communication,Lack of team cooperation,No,N/A,N/A
Air Traffic Controller,1-5 years,No,Effective,Rarely,2,Significantly,No,Very little,Always,Other,Poor communication,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Very Effective,Annually,1,Not at all,No,Not at all,Sometimes,Decision-making,Lack of team cooperation,Yes,N/A,N/A
Co-pilot,Less than 1 year,No,Very Ineffective,Annually,1,I’m not sure,No,To a great extent,Rarely,Other,Pressure from management,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Very Ineffective,Rarely,2,I’m not sure,Yes,Not at all,Always,Decision-making,Other,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Effective,Rarely,2,Slightly,Yes,To a great extent,Always,Teamwork,Time constraints,No,N/A,N/A
Pilot,6-10 years,Yes,Ineffective,Rarely,1,Significantly,No,Not at all,Frequently,Fatigue management,Lack of team cooperation,Yes,N/A,N/A
Air Traffic Controller,6-10 years,No,Ineffective,Annually,5,Slightly,Yes,To a great extent,Always,Communication,Pressure from management,No,N/A,N/A
Flight Attendant,1-5 years,No,Very Ineffective,Rarely,3,Slightly,Yes,Very little,Frequently,Communication,Pressure from management,Yes,N/A,N/A
Co-pilot,6-10 years,No,Effective,Never,4,Moderately,Yes,Not at all,Sometimes,Teamwork,Pressure from management,No,N/A,N/A
Co-pilot,More than 10 years,Yes,Ineffective,Never,5,Significantly,No,Somewhat,Frequently,Other,Pressure from management,Yes,N/A,N/A
Other,More than 10 years,Yes,Neutral,Rarely,2,Not at all,No,Somewhat,Rarely,Fatigue management,Poor communication,Yes,N/A,N/A
Air Traffic Controller,6-10 years,No,Very Ineffective,Bi-annually,3,I’m not sure,Yes,Not at all,Sometimes,Decision-making,Time constraints,Yes,N/A,N/A
Other,1-5 years,No,Effective,Never,5,Slightly,Yes,To a great extent,Always,Decision-making,Other,No,N/A,N/A
Other,6-10 years,No,Effective,Every 2-3 years,5,Slightly,No,Not at all,Sometimes,Teamwork,Pressure from management,No,N/A,N/A
Co-pilot,1-5 years,No,Very Ineffective,Every 2-3 years,5,Moderately,Yes,Somewhat,Sometimes,Fatigue management,Lack of team cooperation,No,N/A,N/A
Flight Attendant,6-10 years,Yes,Very Effective,Never,5,Slightly,No,Not at all,Sometimes,Fatigue management,Time constraints,Yes,N/A,N/A
Co-pilot,Less than 1 year,Yes,Very Ineffective,Rarely,5,Slightly,No,Not at all,Frequently,Communication,Time constraints,Yes,N/A,N/A
Flight Attendant,6-10 years,No,Ineffective,Every 2-3 years,1,Not at all,No,To a great extent,Frequently,Decision-making,Lack of team cooperation,Yes,N/A,N/A
Pilot,6-10 years,No,Ineffective,Never,3,Significantly,No,Not at all,Rarely,Teamwork,Pressure from management,No,N/A,N/A
Other,More than 10 years,Yes,Neutral,Never,2,I’m not sure,No,Somewhat,Rarely,Teamwork,Time constraints,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Very Effective,Never,1,I’m not sure,Yes,Not at all,Sometimes,Teamwork,Other,Yes,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Neutral,Annually,4,Not at all,No,To a great extent,Always,Fatigue management,Pressure from management,No,N/A,N/A
Air Traffic Controller,6-10 years,No,Ineffective,Bi-annually,3,I’m not sure,No,Somewhat,Always,Other,Time constraints,Yes,N/A,N/A
Other,1-5 years,No,Neutral,Bi-annually,2,I’m not sure,No,Not at all,Sometimes,Fatigue management,Poor communication,Yes,N/A,N/A
Other,1-5 years,Yes,Ineffective,Bi-annually,2,Not at all,No,Not at all,Frequently,Teamwork,Pressure from management,Yes,N/A,N/A
Other,1-5 years,No,Very Effective,Every 2-3 years,4,Moderately,No,Somewhat,Sometimes,Teamwork,Pressure from management,Yes,N/A,N/A
Other,More than 10 years,No,Very Effective,Annually,5,I’m not sure,Yes,Very little,Always,Communication,Poor communication,No,N/A,N/A
Other,6-10 years,Yes,Ineffective,Rarely,2,Slightly,Yes,To a great extent,Rarely,Other,Pressure from management,No,N/A,N/A
Pilot,Less than 1 year,No,Ineffective,Rarely,2,Not at all,Yes,Very little,Sometimes,Teamwork,Pressure from management,Yes,N/A,N/A
Co-pilot,More than 10 years,Yes,Effective,Rarely,1,Significantly,Yes,Not at all,Sometimes,Communication,Time constraints,Yes,N/A,N/A
Pilot,More than 10 years,Yes,Very Effective,Every 2-3 years,1,I’m not sure,Yes,To a great extent,Frequently,Other,Pressure from management,Yes,N/A,N/A
Pilot,Less than 1 year,No,Very Effective,Annually,1,Not at all,Yes,To a great extent,Always,Other,Time constraints,Yes,N/A,N/A
Other,1-5 years,Yes,Very Effective,Never,4,Moderately,No,Not at all,Always,Fatigue management,Lack of team cooperation,No,N/A,N/A
Pilot,More than 10 years,Yes,Ineffective,Every 2-3 years,3,Significantly,No,Very little,Frequently,Other,Lack of team cooperation,No,N/A,N/A
Co-pilot,Less than 1 year,Yes,Effective,Never,2,I’m not sure,Yes,Not at all,Sometimes,Fatigue management,Poor communication,No,N/A,N/A
Co-pilot,6-10 years,Yes,Ineffective,Bi-annually,4,Moderately,No,Very little,Always,Other,Other,Yes,N/A,N/A
Air Traffic Controller,6-10 years,Yes,Very Effective,Every 2-3 years,4,I’m not sure,Yes,To a great extent,Rarely,Teamwork,Time constraints,No,N/A,N/A
Air Traffic Controller,More than 10 years,No,Effective,Rarely,3,Moderately,No,To a great extent,Sometimes,Other,Pressure from management,Yes,N/A,N/A
Other,Less than 1 year,Yes,Effective,Every 2-3 years,1,I’m not sure,No,Very little,Sometimes,Decision-making,Poor communication,No,N/A,N/A
Co-pilot,6-10 years,No,Very Ineffective,Bi-annually,1,Moderately,Yes,To a great extent,Sometimes,Teamwork,Lack of team cooperation,Yes,N/A,N/A
Other,6-10 years,No,Effective,Annually,4,Moderately,Yes,Not at all,Frequently,Communication,Pressure from management,Yes,N/A,N/A
Flight Attendant,1-5 years,Yes,Effective,Annually,2,Not at all,Yes,To a great extent,Always,Other,Lack of team cooperation,No,N/A,N/A
Pilot,Less than 1 year,No,Ineffective,Never,2,I’m not sure,No,Somewhat,Sometimes,Other,Lack of team cooperation,Yes,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Very Effective,Never,5,Moderately,No,Somewhat,Frequently,Fatigue management,Other,No,N/A,N/A
Flight Attendant,More than 10 years,Yes,Very Ineffective,Annually,3,Slightly,No,Somewhat,Always,Other,Poor communication,Yes,N/A,N/A
Other,1-5 years,No,Very Effective,Bi-annually,5,I’m not sure,No,Somewhat,Frequently,Other,Time constraints,Yes,N/A,N/A
Co-pilot,Less than 1 year,Yes,Very Ineffective,Bi-annually,3,Moderately,No,To a great extent,Rarely,Decision-making,Pressure from management,No,N/A,N/A
Co-pilot,6-10 years,Yes,Very Ineffective,Every 2-3 years,5,Not at all,Yes,Very little,Sometimes,Fatigue management,Pressure from management,Yes,N/A,N/A
Air Traffic Controller,More than 10 years,Yes,Neutral,Every 2-3 years,5,I’m not sure,No,Very little,Always,Fatigue management,Pressure from management,Yes,N/A,N/A
Flight Attendant,More than 10 years,No,Effective,Bi-annually,5,Not at all,Yes,To a great extent,Frequently,Fatigue management,Lack of team cooperation,No,N/A,N/A
Flight Attendant,More than 10 years,Yes,Very Ineffective,Rarely,5,I’m not sure,Yes,Somewhat,Frequently,Fatigue management,Poor communication,No,N/A,N/A
Air Traffic Controller,Less than 1 year,No,Effective,Bi-annually,1,Moderately,No,Not at all,Always,Fatigue management,Time constraints,Yes,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Very Effective,Rarely,3,I’m not sure,Yes,Not at all,Rarely,Fatigue management,Time constraints,No,N/A,N/A
Flight Attendant,More than 10 years,No,Effective,Never,1,I’m not sure,Yes,Very little,Always,Fatigue management,Time constraints,Yes,N/A,N/A
Co-pilot,More than 10 years,No,Very Effective,Rarely,4,Slightly,No,Very little,Sometimes,Teamwork,Poor communication,No,N/A,N/A
Air Traffic Controller,1-5 years,No,Very Ineffective,Annually,1,Not at all,Yes,To a great extent,Always,Fatigue management,Lack of team cooperation,No,N/A,N/A
Co-pilot,Less than 1 year,No,Effective,Annually,1,Moderately,Yes,To a great extent,Frequently,Fatigue management,Pressure from management,Yes,N/A,N/A
Co-pilot,6-10 years,No,Effective,Never,1,Moderately,Yes,Very little,Sometimes,Decision-making,Pressure from management,Yes,N/A,N/A
Air Traffic Controller,6-10 years,No,Very Ineffective,Never,5,Slightly,No,Very little,Frequently,Teamwork,Other,Yes,N/A,N/A
Other,1-5 years,No,Effective,Never,5,Not at all,Yes,Not at all,Frequently,Decision-making,Pressure from management,No,N/A,N/A
Co-pilot,Less than 1 year,No,Neutral,Every 2-3 years,4,Moderately,Yes,To a great extent,Sometimes,Teamwork,Poor communication,Yes,N/A,N/A
Pilot,1-5 years,Yes,Very Ineffective,Never,4,Not at all,Yes,Not at all,Sometimes,Other,Poor communication,Yes,N/A,N/A
Other,More than 10 years,Yes,Neutral,Bi-annually,4,Moderately,Yes,Very little,Sometimes,Decision-making,Other,Yes,N/A,N/A
Flight Attendant,6-10 years,Yes,Ineffective,Never,4,Significantly,No,To a great extent,Rarely,Other,Other,Yes,N/A,N/A
Air Traffic Controller,6-10 years,Yes,Neutral,Rarely,3,Not at all,Yes,To a great extent,Frequently,Communication,Poor communication,Yes,N/A,N/A
Flight Attendant,More than 10 years,Yes,Ineffective,Never,4,I’m not sure,No,Very little,Frequently,Decision-making,Time constraints,Yes,N/A,N/A
Other,6-10 years,No,Very Effective,Annually,2,I’m not sure,Yes,To a great extent,Always,Other,Pressure from management,No,N/A,N/A
Flight Attendant,Less than 1 year,No,Very Ineffective,Bi-annually,4,Slightly,No,Somewhat,Sometimes,Fatigue management,Lack of team cooperation,No,N/A,N/A
Pilot,1-5 years,No,Very Effective,Rarely,2,Moderately,Yes,Not at all,Frequently,Communication,Pressure from management,Yes,N/A,N/A
Co-pilot,6-10 years,No,Effective,Annually,5,Slightly,No,Not at all,Sometimes,Communication,Pressure from management,Yes,N/A,N/A
Co-pilot,More than 10 years,Yes,Neutral,Rarely,5,Not at all,Yes,Not at all,Sometimes,Teamwork,Poor communication,No,N/A,N/A
Other,Less than 1 year,Yes,Effective,Never,2,I’m not sure,No,Somewhat,Rarely,Communication,Lack of team cooperation,No,N/A,N/A
Co-pilot,6-10 years,No,Ineffective,Never,1,Significantly,Yes,Not at all,Always,Other,Pressure from management,Yes,N/A,N/A
Other,More than 10 years,No,Ineffective,Annually,4,Not at all,No,Not at all,Frequently,Teamwork,Lack of team cooperation,Yes,N/A,N/A
Co-pilot,Less than 1 year,Yes,Effective,Never,4,I’m not sure,Yes,Not at all,Always,Teamwork,Poor communication,No,N/A,N/A
Other,6-10 years,Yes,Very Ineffective,Annually,5,Moderately,No,Somewhat,Rarely,Fatigue management,Pressure from management,Yes,N/A,N/A
Pilot,Less than 1 year,Yes,Neutral,Rarely,5,Significantly,Yes,Somewhat,Sometimes,Fatigue management,Time constraints,No,N/A,N/A
Flight Attendant,6-10 years,No,Neutral,Every 2-3 years,5,Slightly,No,Somewhat,Sometimes,Teamwork,Time constraints,No,N/A,N/A
Other,Less than 1 year,No,Effective,Rarely,3,Not at all,No,Very little,Sometimes,Other,Lack of team cooperation,Yes,N/A,N/A
Other,6-10 years,No,Ineffective,Rarely,1,I’m not sure,Yes,Somewhat,Sometimes,Teamwork,Pressure from management,No,N/A,N/A
Other,1-5 years,Yes,Ineffective,Rarely,4,Significantly,Yes,Not at all,Sometimes,Communication,Time constraints,Yes,N/A,N/A
Pilot,Less than 1 year,No,Effective,Rarely,2,I’m not sure,Yes,Very little,Frequently,Other,Pressure from management,No,N/A,N/A
Air Traffic Controller,Less than 1 year,Yes,Very Ineffective,Never,1,Significantly,No,To a great extent,Sometimes,Teamwork,Pressure from management,No,N/A,N/A
Pilot,More than 10 years,No,Effective,Every 2-3 years,3,Moderately,Yes,Very little,Sometimes,Communication,Lack of team cooperation,Yes,N/A,N/A
Flight Attendant,1-5 years,No,Effective,Rarely,5,Moderately,No,Somewhat,Rarely,Decision-making,Poor communication,Yes,N/A,N/A
Air Traffic Controller,More than 10 years,Yes,Very Effective,Every 2-3 years,4,Significantly,Yes,To a great extent,Sometimes,Decision-making,Time constraints,No,N/A,N/A
Other,More than 10 years,No,Ineffective,Rarely,5,Moderately,No,Very little,Always,Other,Other,No,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Effective,Rarely,1,Not at all,Yes,Not at all,Rarely,Communication,Lack of team cooperation,No,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Very Ineffective,Rarely,5,Significantly,Yes,Somewhat,Frequently,Teamwork,Pressure from management,Yes,N/A,N/A
Co-pilot,Less than 1 year,No,Very Ineffective,Annually,2,Not at all,Yes,Very little,Always,Teamwork,Pressure from management,No,N/A,N/A
Flight Attendant,Less than 1 year,No,Neutral,Bi-annually,1,I’m not sure,No,Very little,Sometimes,Fatigue management,Poor communication,Yes,N/A,N/A
Flight Attendant,More than 10 years,No,Neutral,Never,5,Moderately,No,Not at all,Frequently,Teamwork,Time constraints,No,N/A,N/A
Other,More than 10 years,Yes,Very Ineffective,Every 2-3 years,5,I’m not sure,Yes,Very little,Frequently,Teamwork,Pressure from management,Yes,N/A,N/A
Air Traffic Controller,6-10 years,Yes,Neutral,Bi-annually,2,Significantly,No,To a great extent,Sometimes,Decision-making,Time constraints,No,N/A,N/A
Co-pilot,Less than 1 year,No,Effective,Never,1,Significantly,Yes,To a great extent,Frequently,Communication,Time constraints,No,N/A,N/A
Flight Attendant,1-5 years,Yes,Neutral,Never,1,Slightly,Yes,Not at all,Sometimes,Other,Time constraints,Yes,N/A,N/A
Other,Less than 1 year,Yes,Very Effective,Annually,5,I’m not sure,Yes,Somewhat,Sometimes,Teamwork,Poor communication,Yes,N/A,N/A
Other,1-5 years,Yes,Effective,Every 2-3 years,5,I’m not sure,Yes,Somewhat,Rarely,Decision-making,Other,No,N/A,N/A
Flight Attendant,More than 10 years,No,Ineffective,Rarely,1,Slightly,Yes,Very little,Sometimes,Other,Poor communication,No,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Ineffective,Bi-annually,1,Not at all,No,Somewhat,Always,Fatigue management,Lack of team cooperation,Yes,N/A,N/A
Flight Attendant,Less than 1 year,Yes,Ineffective,Never,1,Not at all,Yes,Not at all,Rarely,Teamwork,Lack of team cooperation,No,N/A,N/A
Other,6-10 years,No,Ineffective,Bi-annually,3,Moderately,No,Not at all,Rarely,Teamwork,Lack of team cooperation,Yes,N/A,N/A
Air Traffic Controller,1-5 years,Yes,Ineffective,Rarely,4,Moderately,Yes,Somewhat,Frequently,Other,Time constraints,Yes,N/A,N/A
Co-pilot,Less than 1 year,Yes,Effective,Rarely,4,Not at all,No,Not at all,Frequently,Other,Time constraints,No,N/A,N/A
Co-pilot,Less than 1 year,Yes,Effective,Annually,1,Not at all,Yes,Not at all,Frequently,Fatigue management,Lack of team cooperation,Yes,N/A,N/A
Air Traffic Controller,Less than 1 year,No,Very Effective,Bi-annually,2,Significantly,No,Very little,Always,Teamwork,Pressure from management,No,N/A,N/A
Co-pilot,Less than 1 year,Yes,Neutral,Every 2-3 years,4,Moderately,No,Somewhat,Rarely,Decision-making,Poor communication,No,N/A,N/A
Air Traffic Controller,Less than 1 year,No,Neutral,Annually,5,Significantly,Yes,Not at all,Frequently,Teamwork,Pressure from management,Yes,N/A,N/A
